## PATTERN: MULTI_DEALER_DEALER (one-way)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
| 256B |   3671.41 Kops/s |   1879.8 MB/s |      0.27 us |     0.27 us |     0.27 us |   13.5 |     32.4 |   12.6 |    506.4 |
| 1024B |   2933.66 Kops/s |   6008.1 MB/s |      0.34 us |     0.34 us |     0.34 us |   12.2 |     32.4 |   10.9 |    450.5 |
| 65536B |    133.74 Kops/s |  17530.2 MB/s |      7.48 us |     7.48 us |     7.48 us |   10.3 |     31.1 |   12.3 |    650.5 |
| 131072B |     62.34 Kops/s |  16341.0 MB/s |     16.04 us |    16.04 us |    16.04 us |    9.3 |     31.1 |   11.8 |    410.5 |
| 262144B |     32.82 Kops/s |  17206.5 MB/s |     30.47 us |    30.47 us |    30.47 us |    7.9 |     27.3 |   12.0 |    658.7 |

### Transport: tls
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|----------|----------|--------|----------|--------|----------|
| 64B |   3110.03 Kops/s |    398.1 MB/s |      0.32 us |     0.32 us |     0.32 us |   12.1 |     33.0 |   11.0 |    634.4 |
| 256B |   2403.02 Kops/s |   1230.3 MB/s |      0.42 us |     0.42 us |     0.42 us |    9.8 |     32.4 |   10.7 |    210.4 |
| 1024B |   2054.31 Kops/s |   4207.2 MB/s |      0.49 us |     0.49 us |     0.49 us |   10.8 |     33.0 |   12.6 |    314.4 |
| 65536B |     70.65 Kops/s |   9260.6 MB/s |     14.15 us |    14.15 us |    14.15 us |   10.1 |     31.1 |   12.4 |    522.5 |
| 131072B |     35.18 Kops/s |   9223.0 MB/s |     28.42 us |    28.42 us |    28.42 us |   10.1 |     27.3 |   12.5 |    578.5 |
| 262144B |     15.26 Kops/s |   7999.7 MB/s |     65.54 us |    65.54 us |    65.54 us |    8.5 |     27.3 |   12.4 |    514.6 |

### Transport: ws
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|----------|----------|--------|----------|--------|----------|
| 64B |   3500.61 Kops/s |    448.1 MB/s |      0.29 us |     0.29 us |     0.29 us |   12.9 |     33.0 |   11.2 |    234.3 |
| 256B |   2404.50 Kops/s |   1231.1 MB/s |      0.42 us |     0.42 us |     0.42 us |   10.5 |     32.4 |   11.4 |    370.4 |
| 1024B |   1934.43 Kops/s |   3961.7 MB/s |      0.52 us |     0.52 us |     0.52 us |    8.0 |     32.4 |   11.5 |    618.4 |
| 65536B |    109.60 Kops/s |  14365.5 MB/s |      9.12 us |     9.12 us |     9.12 us |    9.4 |     31.1 |   12.3 |    354.5 |
| 131072B |     54.96 Kops/s |  14408.3 MB/s |     18.19 us |    18.19 us |    18.19 us |    8.7 |     31.1 |   12.0 |    434.6 |
| 262144B |     31.86 Kops/s |  16703.1 MB/s |     31.39 us |    31.39 us |    31.39 us |    9.4 |     27.3 |   12.0 |    490.6 |

### Transport: wss
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|----------|----------|--------|----------|--------|----------|
| 64B |   4114.50 Kops/s |    526.7 MB/s |      0.24 us |     0.24 us |     0.24 us |   13.6 |     33.0 |   12.9 |    442.4 |
| 256B |   3578.26 Kops/s |   1832.1 MB/s |      0.28 us |     0.28 us |     0.28 us |   11.8 |     32.4 |   12.5 |    650.3 |
| 1024B |   1555.43 Kops/s |   3185.5 MB/s |      0.64 us |     0.64 us |     0.64 us |    9.5 |     32.4 |   13.2 |    530.4 |
| 65536B |     42.10 Kops/s |   5518.6 MB/s |     23.75 us |    23.75 us |    23.75 us |    9.8 |     31.1 |   12.4 |    162.4 |
| 131072B |     29.54 Kops/s |   7744.1 MB/s |     33.85 us |    33.85 us |    33.85 us |   10.0 |     27.3 |   12.5 |    666.5 |
| 262144B |     12.30 Kops/s |   6450.0 MB/s |     81.28 us |    81.28 us |    81.28 us |    7.5 |     27.3 |   12.9 |    210.7 |

===============================================================================

## PATTERN: MULTI_SPOT (one-way)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|----------|----------|--------|----------|--------|----------|
| 64B |     69.74 Kmsg/s |      4.5 MB/s | 4263091.45 us | 4830151.20 us | 4916998.39 us |   10.1 |    754.5 |    9.9 |     22.2 |
| 256B |      9.51 Kmsg/s |      2.4 MB/s | 1517317.64 us | 1564478.40 us | 1573543.12 us |    9.6 |    746.2 |    6.8 |     22.2 |
| 1024B |    634.68 Kmsg/s |    649.9 MB/s | 1250350.80 us | 1306658.00 us | 1312506.02 us |   11.3 |    179.3 |    8.3 |     22.2 |
| 65536B |     96.04 Kmsg/s |   6293.8 MB/s |  31945.30 us | 37266.05 us | 76168.07 us |    7.8 |    135.9 |   10.6 |     20.9 |
| 131072B |     51.35 Kmsg/s |   6730.4 MB/s |  29800.36 us | 34613.00 us | 71591.10 us |    7.9 |     20.8 |   10.3 |     20.9 |
